DISTRITO,EDAD,latitud,longitud
JESUS MARIA,27,-12.069365656044102,-77.04709844829075
LINCE,8,-12.080770661890968,-77.03323440776208
JESUS MARIA,27,-12.084462607481388,-77.05731086027744
JESUS MARIA,38,-12.070923720698632,-77.0472713759988
LA VICTORIA,29,-12.072967619391623,-77.02454916306817
BREÑA,28,-12.06256010524416,-77.05171183216632
LINCE,27,-12.082940976364936,-77.03533413030691
JESUS MARIA,28,-12.088180258457713,-77.05492663842435
LINCE,57,-12.084229566471855,-77.03772847604525
JESUS MARIA,20,-12.083319147683733,-77.04761518964034
LA VICTORIA,34,-12.08849709327504,-77.0194395308544
JESUS MARIA,71,-12.078046074875777,-77.05474369650648
LA VICTORIA,13,-12.068863761939523,-77.00241861113936
JESUS MARIA,28,-12.083608889696855,-77.05389537216415
JESUS MARIA,38,-12.07772424985293,-77.04353799770773
LA VICTORIA,27,-12.061558730219609,-77.0228039919173
LA VICTORIA,28,-12.074140396594967,-77.0261119916288
JESUS MARIA,37,-12.076051429357094,-77.04282103724385
JESUS MARIA,18,-12.06546528270683,-77.0454608850618
LINCE,27,-12.088649014176827,-77.03260083883757
PUEBLO LIBRE,40,-12.069852229191238,-77.07179253701081
JESUS MARIA,27,-12.065075890015468,-77.03908438231066
PUEBLO LIBRE,29,-12.081861785614661,-77.06121899625587
JESUS MARIA,31,-12.088202024126904,-77.05690020651522
BREÑA,52,-12.060801774691674,-77.05204875902656
LA VICTORIA,39,-12.060439877980867,-77.02505002654023
LA VICTORIA,80,-12.06884991600769,-77.02006049714491
JESUS MARIA,35,-12.078370472814742,-77.05352759392268
LA VICTORIA,20,-12.068062780810518,-77.03012885664128
LA VICTORIA,25,-12.067827372136522,-77.01773097575256
JESUS MARIA,54,-12.066965903531557,-77.04618211913873
BREÑA,37,-12.063328823883525,-77.04537798870925
JESUS MARIA,9,-12.085519534438653,-77.06012430296403
BREÑA,17,-12.056286761364085,-77.04817831304024
JESUS MARIA,20,-12.086110562638643,-77.05776373476269
JESUS MARIA,27,-12.072003841869797,-77.04123010651476
JESUS MARIA,25,-12.087694361853462,-77.0527845174279
JESUS MARIA,21,-12.07377901850918,-77.04776739745003
JESUS MARIA,38,-12.08592395161618,-77.05835961989732
BREÑA,19,-12.055750880739097,-77.04204815715606
JESUS MARIA,34,-12.080205103646934,-77.05175316037975
LA VICTORIA,26,-12.058083746191372,-77.01852175586828
JESUS MARIA,46,-12.077987893405496,-77.05020153768365
LA VICTORIA,23,-12.061839036560073,-77.02467694894148
PUEBLO LIBRE,30,-12.072854281213427,-77.05722563924387
PUEBLO LIBRE,36,-12.083223900519688,-77.0677739110857
LA VICTORIA,32,-12.074700189277781,-77.01657732184691
PUEBLO LIBRE,73,-12.067738584613098,-77.06656177094992
JESUS MARIA,29,-12.075512452523936,-77.0416776933315
JESUS MARIA,22,-12.074856607384515,-77.04960117801146
JESUS MARIA,28,-12.075098555886546,-77.04723404771762
JESUS MARIA,29,-12.0664873433498,-77.04314555535021
LA VICTORIA,22,-12.061730258267666,-77.02268901173395
